1,91.21007584792449,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 2.0],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 3.3333335,DBSCAN_NUM_PTS - 3.6666667],}
2,91.21007584792449,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 2.0],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 3.3333335,DBSCAN_NUM_PTS - 3.6666667],}
16,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
17,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
18,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
19,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
20,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
21,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
22,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
23,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
24,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
25,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
26,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
27,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
28,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
29,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
30,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
31,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
32,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
33,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
34,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
35,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
36,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
37,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
38,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
39,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
40,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
41,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
42,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
43,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
44,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
45,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
46,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
47,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
48,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
49,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
50,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
51,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
52,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
53,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
54,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
55,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
56,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
57,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
58,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
59,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
60,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
61,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
62,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
63,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
64,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
65,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
66,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
67,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
68,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
69,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
70,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
71,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
72,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
73,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
74,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
75,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
76,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
77,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
78,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
79,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
80,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
81,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
82,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
83,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
84,93.61133264805439,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 5.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.0],}
