@relation glass

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric

@data
28.665496,27.518797,78.396437,35.514019,59.642857,9.178744,28.903346,0,0
29.367867,35.338346,77.728285,30.841121,54.464286,9.661836,28.438662,0,0
28.665496,28.87218,79.287305,31.464174,58.392857,9.822866,30.297398,0,27.45098
27.743635,31.729323,77.951002,26.479751,61.785714,9.017713,28.996283,0,0
28.972783,31.879699,77.505568,29.283489,56.428571,9.822866,29.089219,2.857143,43.137255
28.007024,27.669173,77.282851,33.956386,63.928571,9.661836,28.996283,0,11.764706
29.323968,29.473684,78.841871,32.71028,56.071429,9.178744,30.855019,0,0
19.841967,38.496241,76.837416,28.660436,52.321429,9.017713,29.182156,0,0
34.855136,47.518797,78.619154,32.087227,35.714286,8.21256,31.133829,3.492063,0
29.938543,30.225564,77.505568,33.021807,56.25,10.305958,30.204461,0,0
48.200176,52.330827,85.077951,5.607477,35,1.771337,38.475836,0,0
48.200176,52.330827,85.077951,5.607477,35,1.771337,38.475836,0,0
29.76295,30.977444,77.951002,25.856698,57.5,10.305958,31.040892,0,0
28.09482,29.774436,76.169265,28.34891,60.535714,9.500805,29.832714,0,0
29.148376,37.293233,75.501114,32.398754,52.678571,9.500805,29.36803,0,0
48.068481,45.112782,85.523385,13.395639,34.821429,2.73752,40.055762,0,0
29.455663,30.075188,76.391982,28.037383,56.071429,9.983897,30.947955,0,58.823529
34.460053,41.503759,77.505568,33.021807,38.214286,8.856683,33.178439,0,0
33.09921,36.992481,75.055679,27.725857,51.964286,9.178744,31.598513,0,31.372549
68.129939,49.022556,82.405345,13.084112,31.428571,0.322061,40.799257,0,19.607843
48.639157,37.293233,83.964365,15.576324,38.928571,2.093398,42.657993,0,0
34.372256,42.857143,74.610245,29.283489,40.535714,9.500805,32.342007,0,0
52.897278,44.962406,82.85078,6.853583,34.642857,1.449275,43.02974,0,31.372549
35.601405,37.142857,74.164811,30.841121,45.535714,9.661836,34.479554,0,21.568627
30.421422,40.601504,63.919822,28.037383,54.107143,8.856683,33.457249,0,0
31.694469,36.240602,63.25167,30.841121,54.285714,8.856683,33.828996,0,0
29.104478,37.293233,62.583519,31.152648,56.607143,8.21256,33.364312,0,17.647059
28.709394,25.864662,60.356347,31.152648,69.464286,9.017713,33.736059,0,47.058824
4.389816,33.984962,77.282851,25.856698,56.607143,9.983897,27.137546,0,60.784314
31.123793,32.180451,77.505568,31.152648,56.071429,9.661836,27.881041,0,0
28.050922,41.353383,83.296214,27.41433,56.785714,9.500805,24.163569,0,0
28.050922,40,81.514477,28.037383,53.214286,9.178744,26.394052,0,21.568627
34.679543,43.157895,80.623608,25.545171,50.535714,2.254428,30.947955,0,0
37.840211,46.315789,79.732739,32.087227,34.107143,1.932367,30.111524,21.904762,0
46.400351,41.804511,85.96882,18.380062,35.357143,3.703704,38.197026,0,21.568627
48.81475,51.729323,84.855234,15.264798,27.5,0,39.591078,0,0
46.400351,41.353383,83.296214,19.003115,39.285714,2.898551,38.847584,0,13.72549
43.195786,44.511278,79.955457,25.856698,38.392857,1.449275,36.895911,0,0
45.522388,34.887218,81.291759,18.068536,43.035714,3.059581,41.078067,0,33.333333
45.522388,34.887218,81.291759,18.068536,44.821429,3.059581,41.078067,0,33.333333
45.522388,35.93985,79.732739,19.003115,42.678571,3.703704,40.799257,0,31.372549
52.019315,38.796992,79.732739,16.510903,38.928571,1.932367,44.052045,0,5.882353
20.149254,62.105263,81.737194,45.17134,36.785714,2.57649,17.936803,0,23.529412
32.177349,43.759398,86.191537,30.529595,38.392857,8.695652,26.858736,0,62.745098
20.983319,35.488722,79.955457,38.317757,58.75,10.78905,22.304833,0,0
22.651449,39.24812,79.510022,39.875389,54.642857,9.822866,22.862454,0,0
21.115013,34.43609,79.287305,38.94081,58.928571,11.594203,22.95539,0,0
20.851624,34.43609,79.732739,38.006231,59.107143,11.111111,23.513011,0,0
23.266023,40.75188,80.400891,38.94081,46.071429,10.628019,24.163569,0,0
22.475856,34.135338,79.732739,38.94081,53.928571,9.822866,24.256506,0,0
21.861282,47.969925,78.396437,29.906542,54.821429,5.958132,23.327138,0,27.45098
20.851624,31.428571,78.396437,50.155763,54.464286,11.111111,23.605948,0,0
20.939421,32.030075,78.396437,57.009346,50.892857,11.111111,23.605948,0,0
20.983319,37.894737,76.837416,35.514019,60,9.822866,22.583643,0,0
23.309921,40.300752,79.064588,29.906542,53.571429,10.950081,24.814126,0,0
21.027217,35.488722,78.396437,39.252336,54.642857,10.950081,24.349442,0,17.647059
12.906058,52.932331,68.819599,55.76324,44.107143,17.713366,15.334572,0,0
22.38806,39.548872,79.732739,37.383178,51.964286,7.246377,25.836431,0,0
19.929763,37.744361,77.728285,36.760125,61.428571,6.119163,24.163569,0,0
23.266023,40.150376,77.728285,38.317757,50.714286,10.78905,24.628253,0,19.607843
22.080773,34.285714,77.951002,37.071651,55,9.661836,25,0,0
23.046532,27.368421,77.505568,49.221184,61.071429,10.144928,24.628253,0,17.647059
31.870061,33.082707,83.296214,25.545171,44.107143,10.305958,32.806691,0,43.137255
21.510097,32.631579,76.614699,36.137072,58.035714,7.085346,26.394052,0,0
20.763828,35.93985,75.946548,40.186916,61.607143,1.127214,27.509294,0,37.254902
20.851624,37.744361,74.387528,36.760125,58.75,6.280193,25.929368,0,0
22.563652,29.774436,74.164811,37.383178,61.964286,10.78905,26.115242,0,0
32.704126,39.548872,76.391982,35.514019,43.75,8.21256,29.460967,0,0
31.870061,34.43609,80.623608,23.987539,45.178571,10.305958,34.386617,0,29.411765
27.568042,22.105263,72.383073,27.102804,66.785714,9.983897,32.249071,0,47.058824
25.197542,29.172932,64.142539,44.23676,60.714286,11.755233,28.903346,0,0
30.553117,33.533835,65.924276,35.514019,55.535714,9.661836,31.226766,4.444444,0
23.705004,30.37594,63.474388,35.825545,61.785714,9.178744,31.226766,3.492063,43.137255
26.997366,24.360902,60.579065,41.744548,54.642857,11.272142,35.315985,0,0
30.9482,28.421053,61.469933,16.82243,71.428571,5.636071,37.081784,0,39.215686
70.676032,46.165414,70.155902,11.52648,13.571429,1.288245,57.713755,0,0
56.848112,46.616541,64.587973,27.41433,23.928571,1.288245,49.814126,0,0
59.701493,10.827068,0,49.53271,42.5,13.043478,72.583643,0,66.666667
88.235294,0,0,56.386293,0,9.339775,73.141264,100,54.901961
100,23.609023,0,22.11838,6.25,1.932367,100,0,47.058824
48.595259,55.639098,0,22.11838,51.071429,1.610306,56.598513,0,15.686275
30.860404,44.962406,0,8.411215,82.857143,0,51.672862,0,0
67.998244,7.518797,0,14.953271,60.714286,0,85.966543,0,0
71.290606,4.360902,0,14.330218,58.392857,0,88.568773,0,0
72.958736,28.721805,0,11.838006,39.464286,0.966184,83.364312,0,0
34.108867,41.052632,85.300668,30.218069,48.928571,9.178744,25.836431,0,27.45098
32.13345,35.639098,88.418708,28.037383,46.964286,9.661836,27.881041,0,0
32.089552,40.300752,86.636971,32.398754,45.892857,8.21256,26.486989,0,0
31.343284,37.744361,86.859688,34.890966,45,8.856683,26.765799,0,19.607843
26.031607,44.962406,81.959911,47.352025,40.178571,10.305958,22.769517,0,0
24.495171,38.646617,81.069042,38.629283,48.571429,10.466989,24.163569,0,56.862745
23.57331,42.556391,79.510022,36.760125,47.142857,10.305958,23.513011,0,0
32.001756,37.894737,83.741648,32.087227,46.25,9.339775,27.788104,0,0
24.05619,33.082707,78.841871,41.433022,56.25,10.305958,24.163569,0,41.176471
25.109745,37.593985,78.841871,37.071651,54.107143,9.017713,24.814126,0,0
25.987709,41.353383,77.505568,44.23676,48.392857,9.983897,23.791822,0,0
46.619842,37.142857,81.959911,26.791277,52.5,8.695652,28.717472,0,0
33.230904,33.082707,81.514477,39.563863,48.214286,9.339775,28.996283,0,23.529412
24.231782,33.233083,80.400891,30.218069,52.5,9.017713,29.460967,0,0
42.405619,45.864662,50.77951,35.514019,38.928571,7.890499,41.078067,0,33.333333
41.834943,42.406015,46.547884,42.990654,42.321429,8.534622,38.475836,8.571429,33.333333
39.727831,48.87218,30.066815,41.744548,34.821429,6.280193,47.67658,0,35.294118
46.619842,45.413534,22.494432,33.333333,42.5,5.31401,53.066914,0,0
65.803336,44.661654,0,33.333333,25.535714,3.059581,74.442379,0,19.607843
30.640913,40.601504,88.641425,27.725857,47.857143,9.339775,25.27881,0,0
30.070237,44.81203,87.52784,38.94081,35.714286,8.695652,25.836431,0,29.411765
30.553117,39.097744,85.746102,29.906542,53.035714,8.373591,25,0,0
29.587357,36.992481,86.859688,31.464174,45,8.856683,27.973978,0,54.901961
30.333626,34.135338,84.632517,24.610592,58.214286,9.017713,27.416357,0,23.529412
26.163301,32.481203,80.623608,39.875389,56.25,9.822866,24.907063,0,0
24.539069,30.977444,78.396437,38.94081,63.392857,10.628019,22.95539,0,0
24.539069,32.180451,79.287305,42.056075,59.464286,10.466989,23.791822,0,0
25.24144,39.097744,78.841871,41.121495,48.75,10.950081,24.907063,0,0
32.309043,37.142857,80.846325,24.299065,53.928571,9.178744,27.695167,2.857143,33.333333
24.012291,31.879699,78.173719,35.825545,57.142857,10.950081,26.022305,1.904762,49.019608
26.075505,34.135338,77.282851,46.728972,51.964286,10.628019,25.557621,0,0
23.924495,33.984962,70.824053,29.283489,56.428571,9.339775,31.412639,0,47.058824
31.782265,31.879699,81.737194,29.595016,49.285714,9.983897,30.204461,0,68.627451
28.709394,43.909774,81.514477,25.545171,52.857143,1.771337,29.460967,0,0
21.729587,39.097744,78.619154,32.71028,51.071429,9.017713,26.951673,0,0
24.363477,37.744361,79.510022,33.956386,51.607143,9.017713,27.973978,0,19.607843
