1,93.81563061937076,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 3.0,DENCLUE_EPSILON - 4.4444447],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 2.5555556,DBSCAN_NUM_PTS - 3.6666667],}
16,96.05332732379564,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 0.5555556],}
17,96.05332732379564,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 0.5555556],}
18,96.05332732379564,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 0.5555556],}
19,96.05332732379564,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 0.5555556],}
20,96.05332732379564,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 0.5555556],}
21,96.05332732379564,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 0.5555556],}
22,96.05332732379564,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 0.5555556],}
23,96.05332732379564,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 0.5555556],}
24,96.05332732379564,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 0.5555556],}
25,96.05332732379564,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 0.5555556],}
26,96.05332732379564,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 0.5555556],}
27,96.05332732379564,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 0.5555556],}
28,96.05332732379564,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 0.5555556],}
29,96.05332732379564,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:EUCLIDEAN,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 0.5555556],}
30,96.64610946141656,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],}
31,96.64610946141656,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],}
32,96.64610946141656,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],}
33,96.64610946141656,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],}
34,96.64610946141656,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],}
35,96.64610946141656,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],}
36,96.64610946141656,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],}
37,96.64610946141656,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],}
38,96.64610946141656,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],}
39,96.64610946141656,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],}
40,96.64610946141656,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],}
41,96.64610946141656,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],}
42,96.64610946141656,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],}
43,96.64610946141656,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],}
44,96.64610946141656,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],}
45,96.64610946141656,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 2.2222223],}
46,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
47,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
48,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
49,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
50,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
51,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
52,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
53,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
54,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
55,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
56,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
57,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
58,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
59,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
60,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
61,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
62,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
63,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
64,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
65,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
66,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
67,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
68,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
69,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
70,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
71,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
72,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
73,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
74,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
75,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
76,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
77,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
78,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
79,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
80,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
81,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
82,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
83,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
84,97.63953735024383,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 18.88889,CLIQUE_THRESHOLD - 0.044444524],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 10.0,DENCLUE_EPSILON - 3.888889],}
