% # of instances: 2000

% Class distribution
% c1: 487
% c2: 487
% c3: 522
% c4: 504

@relation Synthetic_3_train

@attribute Dimension_1 numeric
@attribute Dimension_2 numeric
@attribute Dimension_3 numeric
@attribute Dimension_4 numeric
@attribute Dimension_5 numeric
@attribute Dimension_6 numeric
@attribute Dimension_7 numeric
@attribute Dimension_8 numeric
@attribute Dimension_9 numeric
@attribute Dimension_10 numeric
@attribute Dimension_11 numeric
@attribute Dimension_12 numeric
@attribute Dimension_13 numeric
@attribute Dimension_14 numeric
@attribute Dimension_15 numeric
@attribute Dimension_16 numeric
@attribute Dimension_17 numeric
@attribute Dimension_18 numeric
@attribute Dimension_19 numeric
@attribute Dimension_20 numeric
@attribute class {c1,c2,c3,c4}

@data
0.446151,2.522608,-1.006103,-0.809838,0.991742,0.667775,1.197666,2.426733,0.697143,0.878342,0.064041,1.910345,0.355128,1.787924,-3.399361,0.257155,0.345608,0.167078,-0.319993,4.213239,c2
0.072207,0.819596,4.109614,2.500311,0.050935,-0.473243,0.7277,0.724934,0.457788,-0.28601,1.172562,1.943301,0.7296,1.483455,-0.005199,0.100389,-1.009334,-0.976556,0.713434,-0.404236,c3
1.055663,3.221441,1.466658,8.053984,0.393692,0.579912,-0.383243,-1.013682,1.328029,-0.933153,8.238608,1.876128,0.399121,0.373495,1.593452,0.950747,-2.662357,-1.564643,2.287226,0.465481,c3
0.8485,1.721041,0.54181,2.817957,0.54474,0.821487,2.673219,15.74027,1.371633,0.192618,-2.115421,1.011883,0.714968,-0.970154,-4.888266,0.177872,-0.887297,-1.361421,5.013636,5.568963,c4
-0.458393,3.501744,0.821366,-0.116222,1.787872,0.418704,0.580067,0.869656,0.232047,0.813862,-1.633947,1.852326,0.73481,3.168512,0.370691,0.318062,-2.441006,-0.466942,-3.545622,-0.031246,c2
0.385964,1.832474,1.350925,-18.37988,0.786633,0.554554,1.8596,6.211745,0.688522,0.780859,6.353283,0.952635,0.68046,-1.70555,-4.560828,0.24018,-0.08408,-0.678275,-38.124877,5.073551,c4
0.291229,0.17907,-3.195833,-1.381457,1.675149,0.665616,-2.561676,6.002324,1.043836,1.398414,7.316836,0.822745,1.15532,-0.708127,-2.507193,0.9832,0.322265,-0.248765,-1.6376,2.61551,c4
-0.366846,2.498516,2.153977,3.632669,1.564016,0.379513,-1.35114,-1.248975,0.110699,-0.155113,5.386108,1.774357,1.176949,2.626289,-1.297748,0.738168,-1.465843,-1.807505,-1.782671,-1.158499,c3
0.409609,3.962111,0.928195,-0.404708,0.19356,0.583471,0.373705,1.43246,0.870599,0.652098,-0.180717,1.545129,0.435606,1.98295,-1.926924,0.78151,-1.164692,0.506027,-0.395343,1.10326,c2
0.170682,2.443612,2.078943,1.711977,0.208573,0.649521,0.377142,0.856873,0.41166,0.002669,3.311807,1.623024,0.511394,-0.069253,2.552724,0.060603,-0.032996,-2.749092,6.61773,0.437755,c3
0.160308,1.797924,1.608059,-1.040485,-0.185332,-0.472346,-0.601478,-1.312892,0.51127,0.003003,1.75118,1.544063,0.452918,-0.622816,4.012171,0.307333,-0.075441,-1.80807,8.315529,0.046471,c3
1.13816,2.185018,0.298133,3.792949,1.559919,0.69315,-0.332808,-3.411196,1.679296,-0.36046,-3.590762,1.302568,0.870124,3.03447,-5.011408,0.689422,-1.160123,-3.806113,-10.189529,0.862067,c3
0.550278,0.534646,2.585193,1.226452,1.326875,-0.367053,-0.934114,-0.678954,0.870367,0.528029,2.035173,1.16223,1.290992,0.738632,2.413785,0.623728,-0.359037,3.566573,5.393319,0.303961,c3
0.159519,3.447123,-1.60535,3.954546,2.222422,0.415835,1.552593,5.372011,0.316755,-0.411725,0.747131,0.913362,0.907658,-0.56694,5.266899,0.358153,-0.87906,-2.647526,9.128621,0.106814,c3
1.732242,3.24148,0.262092,-4.267056,2.956517,0.998917,-0.898855,-4.516657,1.50417,1.01618,-2.176621,0.414132,0.345019,-0.316362,-3.222455,0.454349,-1.167319,-0.317958,-9.701008,4.124618,c4
-0.394618,0.486804,-1.094131,4.159964,-0.01631,0.453726,1.142775,2.103132,0.274111,-0.316249,4.589324,0.743148,0.866672,1.428024,-0.020349,0.991449,-1.117877,-1.629818,-0.308824,2.096779,c3
1.127393,1.575619,-4.475768,6.033698,0.528772,0.597259,0.082968,-2.025481,1.723172,0.57885,7.16167,0.185327,0.556613,0.181191,-4.675633,0.358152,-0.108408,-0.44146,12.682778,2.919814,c4
0.421628,0.096623,1.303095,-2.036782,0.067348,0.856492,3.499283,-16.17461,1.114515,0.172631,1.239407,1.037582,0.02575,0.515997,-2.06977,0.593184,2.399526,1.821393,-1.583305,0.272476,c1
1.271524,-0.027166,4.357493,4.101366,0.323435,0.51223,2.26707,9.839842,1.243779,0.585712,1.774937,0.060601,0.297319,-0.684078,-4.215354,0.661593,1.158355,-1.971748,8.91289,4.604951,c4
1.27612,1.449666,0.84344,6.407852,0.325912,0.619326,1.037297,0.872244,1.088535,0.903217,3.421174,0.205165,0.996015,-1.636488,-4.401871,0.249401,-1.27893,-0.33825,13.78204,4.688972,c4
0.654346,3.380872,0.5128,2.344793,0.880093,-0.317219,1.371688,2.774012,0.816384,-0.288327,-0.378465,0.529149,1.100234,1.24344,2.496318,0.643887,-0.337194,-2.826404,4.492311,1.22384,c3
1.138819,0.530162,-1.601728,-1.359836,0.390301,0.677163,2.187145,11.493642,1.431133,0.864306,1.436788,0.059425,0.632614,-2.778408,-4.325252,0.778679,-1.09427,-1.188935,-2.677106,5.043853,c4
-0.845334,3.357115,-0.239096,1.145045,1.490605,0.665917,0.704609,0.444916,-0.298963,-0.253832,0.546582,1.684037,0.875605,3.78994,2.265748,0.276728,-2.825969,0.102417,0.106057,-0.515788,c2
1.062357,2.746055,3.00274,3.153434,1.117293,-0.104532,-0.35418,-0.661171,1.274157,0.164414,1.967133,0.418815,0.594562,1.919486,-0.94433,0.766175,-0.044669,-1.724169,-2.764975,0.708147,c3
0.444293,2.335683,-0.0855,3.037557,-0.063723,0.996359,0.24554,-0.083216,0.570047,-0.204564,9.51487,0.282336,0.704908,1.121713,-0.751112,0.113229,-0.915178,-0.551014,-0.817643,0.706611,c3
1.84831,3.376475,-0.802612,0.398481,-0.009656,1.079158,0.526582,2.00412,1.77768,0.076627,-0.558965,1.473972,0.538188,1.573312,-3.968683,0.944509,-2.292344,-0.637738,-2.510295,-2.229042,c2
0.615231,1.527271,0.022291,-9.412007,0.908167,0.641713,-2.557617,5.315311,1.174753,0.793594,11.357779,0.047773,0.905241,-0.39493,-0.97489,0.184999,0.807735,-1.015287,-17.525696,2.709082,c4
0.171696,2.056973,-3.262683,4.268966,0.715368,0.80211,1.655724,4.752023,0.46965,-0.4275,-1.408856,0.139622,0.679951,0.704887,0.712803,0.679953,0.125018,-3.789558,1.32721,0.024125,c3
0.729358,1.410129,3.662714,-3.18609,2.459166,0.666439,0.034221,-3.017945,0.799393,0.724954,0.919265,-0.317478,0.796927,0.051269,-3.62867,0.760324,0.43206,5.806981,-6.715621,1.896771,c4
0.65374,1.065951,-4.220225,-1.071756,1.117313,0.724134,0.367422,-1.263073,0.866807,1.301865,1.541331,-0.098932,0.815903,-1.895722,-3.798743,0.952411,-0.732729,-1.889259,-2.892883,1.207266,c4
0.33462,-0.561817,3.181009,-2.358394,0.973758,0.614624,-5.211934,99.109186,1.108428,0.009404,0.024797,1.377733,-0.325274,1.224341,-2.679996,0.6692,0.513873,-1.696447,-1.187803,-0.261503,c1
-1.184415,0.938939,4.847366,-1.827568,0.043581,0.79326,-0.970822,4.619681,1.137263,-0.21752,-0.550953,0.69914,0.620842,2.047859,-1.314356,0.920775,0.728902,3.104473,-0.018554,0.802868,c1
0.41757,0.594203,-0.815464,3.220811,1.416609,0.464283,-0.87209,0.381827,1.152741,0.380899,-1.515209,0.05182,0.263658,1.406095,0.591788,0.721981,-0.827409,-2.747899,-0.221549,1.167809,c3
1.196574,2.451594,-6.255666,6.771846,0.50763,0.985373,-3.236836,11.607399,1.837717,1.607532,0.37953,-0.23277,1.117394,-2.093498,-5.584016,0.444884,1.64976,-0.292201,12.577019,4.402109,c4
-0.276419,4.307119,0.578271,-0.278665,0.732771,0.368371,0.781379,0.20968,0.462626,0.692821,0.322388,1.276228,0.705253,2.995862,0.17391,0.422295,0.271429,-2.566202,3.014018,1.030429,c2
1.987972,0.744807,2.38581,-2.390434,0.826256,0.505447,-0.754601,0.491048,0.820568,-0.667124,0.314977,0.617022,0.129745,-0.953411,-0.893681,0.683864,2.154069,-0.259621,-0.697972,3.050508,c1
0.602952,1.646149,-0.577203,2.190942,0.388439,0.254297,-0.477955,-0.882662,1.168593,1.169639,1.74202,-0.005717,0.693203,1.911362,-0.44072,0.303751,-0.542714,-2.976734,0.019733,0.226603,c3
0.281978,4.091005,0.835225,-0.261739,1.604783,0.861905,0.012782,0.301082,0.398245,-0.274012,-0.396651,1.029787,0.659092,2.16662,-1.56834,0.687902,-1.076693,-0.083457,-3.08139,-7.173783,c2
0.828701,2.693756,-0.800002,1.94434,2.276648,0.45826,1.721624,3.976261,1.334544,-0.364837,1.599154,-0.095303,0.779749,0.623877,1.640394,0.135393,-2.539405,-1.757991,2.956515,-2.614846,c3
1.25596,0.608755,-0.908469,-1.619511,0.48102,0.86508,0.14817,-2.60637,1.474702,1.685686,8.930056,-0.305273,0.759708,-0.822684,-5.221567,0.787452,1.037017,-0.470619,-3.132585,5.504719,c4
-0.05242,1.932023,3.460695,5.852012,0.647967,0.029869,1.012502,2.988514,0.900707,-0.017102,5.534789,0.005122,0.566067,1.831302,-0.900812,0.55305,-1.676461,-2.372424,-2.440775,-0.107308,c3
1.202324,2.883974,1.1068,-1.108193,1.662071,1.212519,0.858715,1.916146,1.249279,-0.784975,0.333017,0.891666,0.991426,2.316058,-1.807727,0.440303,-1.695092,0.42353,2.006425,-0.12173,c2
1.599144,-0.26368,-4.36811,-4.021518,0.387071,0.868842,0.176245,-8.382374,1.503629,-0.012812,0.090328,0.417077,0.590562,0.711757,-2.44491,0.082408,1.369687,-1.588361,-0.664498,2.083107,c1
-0.333393,3.796326,-1.860151,-0.092367,2.387938,0.446276,1.266454,4.401555,0.079895,-0.131175,-0.713543,0.697879,0.240277,0.8578,-5.83817,0.39091,-1.197698,2.403482,0.120736,1.325419,c2
0.963096,3.463468,-0.032315,0.229743,3.061343,0.36707,0.901789,1.927429,1.182157,0.222763,0.399955,0.606275,1.007626,3.217697,0.947494,0.94484,-2.295484,-2.351433,2.525215,0.391094,c2
1.103504,0.700992,3.038593,1.809616,-0.538903,0.363685,1.683112,4.293332,0.961678,-1.065951,2.028722,0.0393,0.579571,-0.067505,3.031764,0.334747,-1.176789,-1.55646,7.457673,2.060592,c3
0.422813,2.735277,-0.295435,3.851037,1.393685,-0.346342,1.354738,5.033347,1.168457,-0.817764,1.900248,0.073884,0.241972,1.167464,-0.708347,0.402078,-0.84894,-1.322744,-1.60948,-0.791174,c3
1.364389,0.398812,7.809681,-2.947864,0.47677,0.954448,-1.353749,11.079612,0.857948,-0.224046,-0.510157,0.545909,0.435084,-0.850014,-0.480291,0.062417,1.913592,1.825395,1.316162,-0.894554,c1
-0.779145,4.325783,-0.503287,1.14746,3.369857,0.586428,0.398358,-0.225833,0.137536,0.795394,0.873962,0.188981,0.766044,0.564913,-7.474498,0.317775,-0.118773,5.215371,2.870476,2.498952,c2
0.989416,3.27507,-1.025372,3.631666,-1.283317,0.951549,0.463218,1.099847,1.33081,-0.338234,3.478086,0.208217,0.459371,1.541088,1.150329,0.146426,0.23462,-2.515242,2.23254,1.168288,c3
-0.616448,1.503947,3.040925,0.690727,0.455556,0.636509,9.63588,83.132589,1.560816,0.10507,-0.556065,0.483025,0.630781,0.170962,-1.229492,0.047138,2.155584,0.435164,-0.949791,1.527196,c1
-0.942249,3.392782,0.257622,1.377989,2.003424,0.913149,0.838211,1.851444,0.161403,0.520487,1.96074,0.161115,0.787866,3.889743,4.300745,0.439333,-3.479244,8.561052,3.701337,1.478635,c2
1.771561,-0.134073,-3.447345,-1.926158,-0.29971,0.670455,-1.563963,-1.216699,1.202561,1.051005,10.365321,-0.124863,0.516568,0.138333,-4.701963,0.957005,2.029382,-1.082419,-4.07891,4.26363,c4
0.619185,1.334634,2.073703,7.537834,-0.082046,0.960149,-0.602046,-3.919758,1.261598,1.910395,2.34357,-0.199773,1.365261,-1.687306,-4.567781,0.770965,2.311151,-0.801559,14.564963,1.838449,c4
0.069223,1.910656,0.119846,-0.519532,1.527102,1.203421,1.337154,2.104602,0.297691,1.668036,1.447185,-0.008411,0.57009,2.651193,-0.835069,0.749344,-1.639798,-1.185174,4.22153,-1.010236,c2
1.488766,1.122921,-0.332379,0.233884,0.026183,0.992196,-0.997309,-2.744628,1.13026,1.029813,-2.990187,0.18858,0.899867,1.189801,-1.495902,0.011333,1.676192,-0.662119,1.473036,3.036922,c4
1.206187,1.296227,0.65971,15.864675,0.817404,0.971301,-0.13237,-3.446395,0.956193,1.030119,3.057992,0.449378,0.581303,0.172248,-0.738645,0.514189,1.280651,-2.354361,33.432538,4.102669,c4
0.031854,3.804238,0.37745,-0.400575,0.854467,1.492809,0.872052,2.268649,0.85365,1.670421,-0.151238,-0.174194,1.184832,1.825848,-2.331777,0.737477,0.650024,0.05765,0.19362,-0.049668,c2
-0.058401,1.538548,5.472818,1.990047,0.831047,0.272726,0.817979,1.670684,0.476278,-0.915207,0.145226,0.348998,0.531959,1.994145,-0.813719,0.410164,-2.374784,1.306067,-3.44383,0.340176,c3
0.972415,3.10317,-0.517421,-0.63977,1.774514,0.94056,0.896811,2.507822,1.701104,0.818358,-1.45072,-0.278031,1.046323,0.649773,-5.396575,0.145354,-2.832502,0.418426,-1.789665,10.328148,c2
-0.12776,3.322097,1.141149,1.285345,0.823708,1.402206,1.136979,2.538664,0.626182,0.885357,6.497403,-0.257125,1.254482,1.470019,-4.985196,0.58177,-3.318957,-0.990405,13.762428,-1.334943,c2
0.055289,3.086986,0.469675,1.20645,1.356491,0.522934,1.116411,3.561625,0.953947,0.745714,0.466704,-0.224291,1.019057,3.357258,1.880638,0.152401,0.258385,0.733751,1.717863,-0.566431,c2
1.05693,3.336246,0.016319,-0.022173,2.131069,0.34747,1.738617,5.557409,1.529198,1.218145,-0.044704,-0.050962,1.06702,2.037429,-3.023383,0.907898,0.431513,-1.044979,0.145619,-0.025671,c2
0.066757,0.381983,6.497399,-4.574538,0.282177,0.542236,2.012358,9.050043,0.068623,2.337491,2.702143,0.314976,0.800274,-2.200919,-5.383975,0.232693,-0.29897,0.443271,-8.707155,1.558436,c4
0.819778,0.61307,-3.974098,-0.92094,0.182405,0.663816,-8.342969,216.182502,1.398278,-1.35571,-1.242538,-0.238269,1.022145,0.98195,-2.232248,0.455515,0.906359,0.008782,-2.624916,2.214168,c1
-0.218398,3.243928,-0.333421,1.310685,0.199827,1.277199,0.71499,1.320558,0.55761,0.054846,1.620904,-0.109581,0.754457,2.578502,-0.175129,0.960854,-2.369256,0.558463,2.366082,2.41631,c2
1.165621,2.409029,-2.86914,3.251062,-1.734189,-0.027202,-0.397336,-2.710569,1.19028,-0.682801,2.781063,0.595758,0.91181,0.404839,2.507245,0.922233,0.129329,-3.26256,5.434317,1.215003,c3
0.100001,3.063022,0.017616,0.175974,1.961233,0.983062,0.491824,0.329998,0.847067,-0.008158,1.427561,0.108558,1.219175,1.901517,-3.898964,0.324391,-2.253355,-2.758864,3.03109,0.145854,c2
0.663362,4.078504,0.09672,-0.215533,2.75267,1.429215,0.449084,1.114206,1.309053,0.698247,0.570504,0.433958,0.630492,2.023682,-1.714199,0.547036,-0.414045,-1.679649,1.237392,1.30078,c2
0.827059,3.251358,0.803184,3.858324,1.566637,0.851105,1.410014,2.634446,0.762753,-0.680917,1.063205,0.748522,1.505008,2.569947,-1.654731,0.187756,-2.760089,-2.477764,-3.440887,-0.57716,c3
1.621082,1.353711,1.739177,3.661645,0.241587,0.956219,-1.453139,-2.091697,1.015094,1.383787,-1.641566,0.881609,0.898161,0.123677,-3.147935,0.936029,2.062566,-0.833528,7.451866,4.16513,c4
0.848672,2.285487,1.937779,3.329833,-0.032741,0.064637,-0.740947,-0.758399,0.75632,-0.267919,6.370761,0.933379,1.335253,2.355405,-3.207485,0.961017,0.225288,0.008001,-5.528946,1.981814,c3
1.312013,0.72307,-3.69182,0.28873,0.577478,0.53788,1.185828,2.247925,1.652215,1.410441,3.425127,1.071477,0.961613,-0.684625,-3.57466,0.588487,2.182008,0.097375,1.389736,0.807905,c4
-0.764347,2.452263,-0.163596,-0.732839,1.974206,1.421139,0.185776,-1.362368,-0.036939,1.238674,-0.229047,0.412995,1.669252,1.659642,-3.683168,0.761852,-0.019028,0.063046,-0.134546,3.497006,c2
0.800521,1.087805,-1.075754,1.032597,1.932646,0.31908,-0.705736,-1.136209,0.735922,-0.38968,5.619665,1.190992,0.796808,0.410133,2.180058,0.829092,0.211588,-1.916731,3.268065,-0.392593,c3
1.368433,-0.283088,5.258822,-3.450961,0.052959,0.855763,-3.059154,43.061331,1.137231,-1.963281,-2.098362,0.214454,0.189587,0.715918,-1.247842,0.306925,2.312408,-0.430671,-2.789997,2.044597,c1
0.140052,1.729056,1.062226,2.462132,-1.731557,0.465804,2.308015,9.151554,0.321743,-0.21267,0.08485,1.294557,0.803782,0.54073,3.030836,0.924613,0.087419,-2.165631,4.516665,0.900755,c3
-0.343181,2.150028,2.006362,4.176468,0.130814,-0.052403,-0.540486,0.208549,0.485755,0.03025,-3.497242,1.522724,1.118681,3.056632,-2.745687,0.515546,0.509284,-1.280438,-7.082609,-0.348756,c3
-1.162396,1.009244,3.545608,-3.29773,0.094874,0.777702,6.947191,20.702482,1.149627,-0.191588,1.300545,0.123773,0.31457,-0.31112,-0.770372,0.429358,0.336356,0.640801,-0.693881,1.48474,c1
0.960655,2.133808,-2.16107,2.98399,1.074934,0.206681,0.492894,-0.236023,1.41722,0.403667,-1.222817,1.683155,0.192188,1.415027,1.226499,0.382482,-1.710197,-2.446578,0.895411,1.100573,c3
0.201823,0.065218,-1.241932,-2.998221,0.443689,0.832677,-4.835919,89.040947,1.71489,0.245591,0.361893,-0.129754,0.559542,-0.275132,-0.960455,0.689893,1.911131,-0.467148,0.747037,4.137265,c1
0.303421,1.88698,0.459608,2.909752,2.287724,0.10937,0.199608,-0.036919,0.663941,0.486385,4.690058,1.740862,0.735718,2.592378,-2.114616,0.798225,-1.845868,-2.101355,-4.221446,1.877684,c3
1.431392,0.08437,-0.771039,-4.226422,0.679671,0.929602,1.559774,6.431448,1.255323,1.173314,7.727015,1.189533,1.432222,-0.979257,-4.201838,0.65747,0.775861,-1.351929,-8.659697,0.605909,c4
0.178117,2.468604,-1.972715,4.324466,0.14781,0.763497,0.531512,0.29711,0.77491,-0.117607,4.737712,1.864645,0.78653,1.347683,0.840073,0.075247,-0.185991,0.283455,2.433447,-1.072714,c3
0.037296,3.289056,-0.956727,2.265246,-1.527794,0.05994,-2.630479,0.163986,1.036471,-0.924283,5.386589,1.932413,0.174657,1.2115,1.947127,0.329964,0.101549,-3.405506,4.500329,1.188531,c3
1.060477,1.06454,-4.284809,-12.024456,2.29441,0.777772,-2.887476,7.209183,0.893393,0.185251,-3.114631,1.292674,1.417821,-0.130402,-2.457598,0.750187,1.672484,-1.733176,-23.983202,2.453589,c4
-0.701692,2.668923,-0.031603,-0.439876,0.959955,1.266013,-0.004603,0.227908,-0.210334,0.28724,3.571495,0.533072,1.267644,1.132707,-6.561933,0.069869,-2.802312,-1.152789,7.173741,-0.641706,c2
-0.311971,0.891132,-0.180516,3.142002,0.038131,-0.097053,0.653775,1.561016,-0.209612,-1.448464,6.230602,1.932668,0.109343,1.769531,-0.883637,0.397269,-1.228537,-1.199444,-1.815503,-1.152635,c3
-0.858956,1.507213,1.820912,-1.384808,-0.73292,0.632798,1.045,1.326833,-0.179794,1.32637,-4.067494,0.763609,0.871059,1.335094,-4.719362,0.783641,-1.590562,1.078756,-9.219533,-8.700871,c2
1.208792,0.962102,-5.111317,-3.844874,-0.534828,0.572401,-1.526599,-3.184838,1.727501,1.729979,6.181306,1.490302,0.88489,-0.629075,-2.957871,0.877781,1.666178,-0.552694,-7.267419,3.031887,c4
1.073213,1.15613,7.549383,-2.837339,0.987544,0.782109,0.209277,-8.422726,1.616933,0.686459,0.035834,-0.60433,1.255603,0.741147,0.00132,0.694331,0.917272,0.18615,0.219644,2.739456,c1
0.724863,3.01039,2.313898,2.614181,-0.893859,0.008244,0.746683,2.073056,1.65422,-0.736014,-2.092564,1.905452,0.346575,0.80931,1.556559,0.44122,-1.892031,-2.684226,3.920494,-1.226554,c3
-0.313521,0.976447,2.292931,-2.181857,0.607146,0.839617,6.210742,7.228103,1.238197,0.110928,-0.705306,-0.163461,1.412593,1.783135,-3.760539,0.397674,1.658641,-0.105835,0.933787,-1.484274,c1
1.651826,1.767682,-1.268737,-7.667607,0.70807,0.575903,1.010345,0.444824,1.949226,1.468952,1.547446,1.536198,0.157645,-1.108162,-3.005421,0.609529,-0.66773,8.564172,-15.205451,1.640043,c4
-0.819249,-2.019527,-3.550483,-4.522375,0.524773,0.982648,2.284263,-18.838646,1.80417,-0.6148,-0.44543,-0.154462,1.115425,-0.564786,-0.112606,0.447535,2.204365,-0.818507,-0.177557,0.083022,c1
0.094398,2.875437,-0.005694,2.11953,1.363457,0.738099,-0.984689,-1.799727,0.23371,-0.602566,3.394554,1.875572,0.428364,1.241503,-0.522201,0.334378,-1.512384,-2.276693,-1.94307,-1.095524,c3
1.015085,2.970042,-0.684164,-0.292184,0.774231,0.126323,-0.409984,-0.528607,1.801683,0.15389,0.929057,0.953023,0.851962,2.992963,-0.679047,0.636457,0.205795,0.533582,-1.189535,4.523436,c2
0.349033,3.813573,-0.897159,3.694107,-0.515889,-0.110257,1.898094,6.617726,0.930407,-0.11453,6.20649,1.77587,0.490682,0.750058,0.571226,0.571578,-1.419491,-3.706905,1.465068,0.949923,c3
0.096132,-0.263827,6.883733,-1.730766,0.805385,0.909654,6.587107,14.361576,1.293278,-0.196131,-0.021573,-0.349636,0.995237,-0.288877,-1.046119,0.459512,2.768863,1.196146,-0.845664,0.172198,c1
0.04145,0.7299,-8.71517,-3.653718,0.494924,0.680474,-2.775206,36.60615,0.780743,-0.465169,-0.397645,-0.164064,1.326067,0.001708,-0.928541,0.351491,1.606554,1.67868,-1.807093,2.298889,c1
0.413616,2.797793,0.373779,3.772077,0.057965,0.696598,0.777829,1.529021,0.83196,-0.367272,1.511161,1.700843,0.681225,-0.996806,5.05016,0.331483,-2.932998,-1.131693,10.278056,-0.736135,c3
0.496195,1.053686,-0.329445,2.246825,1.244682,0.774663,2.506541,10.663414,1.230985,0.007191,-3.009584,1.505779,0.662235,-0.500052,3.190223,0.797338,-1.926142,-2.58203,6.476558,0.111752,c3
