Attribute1,Attribute2,Cluster
0.899371,0.837288,C6
0.978655,0.677861,C6
0.978655,0.912019,C6
0.891996,0.757574,C6
0.821931,0.639665,C6
0.950998,0.878805,C6
0.888308,0.955197,C6
0.766616,0.662914,C6
0.777679,0.815698,C6
0.93256,0.65295,C6
0.862495,0.815698,C6
0.83115,0.943572,C6
0.810868,0.787467,C6
0.899371,0.777502,C6
0.849588,0.995054,C6
0.834837,0.870501,C6
0.842213,0.870501,C6
0.814555,0.646307,C6
0.770304,0.98675,C6
0.94731,0.923644,C6
0.770304,0.955197,C6
0.90859,0.682843,C6
0.890152,0.792449,C6
0.832993,0.664575,C6
0.83115,0.812377,C6
0.877245,0.744289,C6
0.917809,0.888769,C6
0.910434,0.634683,C6
0.978655,0.737646,C6
0.934403,0.757574,C6
0.980499,0.850573,C6
0.954685,0.626379,C6
0.973124,0.601469,C6
0.821931,0.877144,C6
0.897527,0.98675,C6
0.939935,0.990072,C6
0.938091,0.878805,C6
0.871714,0.726021,C6
0.893839,0.998375,C6
0.917809,0.72436,C6
0.770304,0.621397,C6
0.86987,0.740967,C6
0.949154,0.754253,C6
0.90859,0.706092,C6
0.915965,0.613093,C6
0.801649,0.669557,C6
0.113905,0.344061,C7
0.178438,0.307525,C7
0.227273,0.4,C7
0.123124,0.3424,C7
0.207939,0.24774,C7
0.08256,0.317489,C7
0.145249,0.236115,C7
0.171063,0.29424,C7
0.077028,0.239437,C7
0.045455,0.4,C7
0.038308,0.266008,C7
0.145249,0.252722,C7
0.181818,0.3,C7
0.171063,0.241097,C7
0.102842,0.378935,C7
0.227273,0.3,C7
0.19872,0.287597,C7
0.117592,0.242758,C7
0.115748,0.285936,C7
0.093623,0.334096,C7
0.027245,0.274311,C7
0.22269,0.332436,C7
0.027245,0.236115,C7
0.172907,0.249401,C7
0.193189,0.352364,C7
0.018026,0.325793,C7
0.003275,0.27099,C7
0.053059,0.354025,C7
0.191345,0.29424,C7
0.181818,0.4,C7
0.084403,0.261026,C7
0.148937,0.320811,C7
0.161844,0.352364,C7
0,0.373953,C7
0.03462,0.372292,C7
0.13603,0.3424,C7
0.128655,0.267669,C7
0.136364,0.4,C7
0,0.3,C7
0,0.4,C7
0.095466,0.209544,C7
0.136364,0.3,C7
0.182126,0.378935,C7
