1,90.42394834417884,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_MAX_DIST - 4.111111,DBSCAN_NUM_PTS - 4.0],}
2,91.17653299773193,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 7.0],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
3,91.62653342224765,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 4.0],MergeByDistance[DISTANCE:MANHATTAN,DESCRY_DENSITY - 4.0,DESCRY_K - 3.7777777],}
4,91.62653342224765,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 4.0],MergeByDistance[DISTANCE:MANHATTAN,DESCRY_DENSITY - 4.0,DESCRY_K - 3.7777777],}
5,91.62653342224765,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:CHEBYCHEV,DBCLASD_PTS - 4.0],MergeByDistance[DISTANCE:MANHATTAN,DESCRY_DENSITY - 4.0,DESCRY_K - 3.7777777],}
27,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
28,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
29,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
30,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
31,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
32,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
33,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
34,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
35,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
36,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
37,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
38,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
39,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
40,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
41,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
42,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
43,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
44,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
45,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
46,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
47,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
48,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
49,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
50,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
51,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
52,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
53,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
54,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
55,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
56,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
57,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
58,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
59,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
60,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
61,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
62,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
63,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
64,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
65,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
66,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
67,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
68,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
69,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
70,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
71,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
72,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
73,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
74,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
75,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
76,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
77,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
78,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
79,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
80,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
81,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
82,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
83,96.64511289965586,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_SIGMA - 7.0,DENCLUE_EPSILON - 1.1111112],}
