Attribute1,Attribute2,Cluster
0.98603,0.214526,C7
0.923341,0.372292,C7
0.882777,0.297561,C7
0.855119,0.335757,C7
0.877245,0.239437,C7
0.897527,0.262686,C7
0.853275,0.91368,C8
0.849588,0.995054,C8
0.83115,0.943572,C8
0.938091,0.878805,C8
0.862495,0.815698,C8
0.950998,0.878805,C8
0.820087,0.852234,C8
0.888308,0.955197,C8
0.814555,0.865519,C8
0.770304,0.908697,C8
0.917809,0.888769,C8
0.888308,0.96184,C8
0.871714,0.910358,C8
0.88462,0.837288,C8
0.851432,0.96184,C8
0.899371,0.837288,C8
0.842213,0.870501,C8
0.866182,0.847252,C8
0.80718,0.96184,C8
0.834837,0.870501,C8
0.842213,0.877144,C8
0.856963,0.828984,C8
0.821931,0.877144,C8
0.797961,0.89043,C8
0.877245,0.888769,C8
0.849588,0.971804,C8
0.928872,0.084992,C9
0.906746,0.08167,C9
0.984187,0.171348,C9
0.877245,0.111563,C9
0.917809,0.10326,C9
0.873557,0.133152,C9
0.958373,0.108242,C9
0.954685,0.108242,C9
0.880933,0.083331,C9
0.880933,0.10326,C9
0.987874,0.12817,C9
0.891996,0.070046,C9
0.071497,0.857216,C10
0.115748,0.862198,C10
0.108373,0.882126,C10
0.08256,0.893751,C10
0.062278,0.882126,C10
0.112061,0.89043,C10
