1,90.98568649622513,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:EUCLIDEAN,DBCLASD_PTS - 8.0],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 1.7777778,DBSCAN_NUM_PTS - 3.0],}
12,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
13,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
14,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
15,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
16,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
17,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
18,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
19,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
20,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
21,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
22,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
23,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
24,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
25,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
26,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
27,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
28,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
29,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
30,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
31,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
32,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
33,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
34,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
35,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
36,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
37,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
38,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
39,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
40,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
41,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
42,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
43,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
44,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
45,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
46,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
47,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
48,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
49,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
50,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
51,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
52,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
53,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
54,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
55,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
56,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
57,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
58,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
59,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
60,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
61,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
62,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
63,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
64,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
65,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
66,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
67,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
68,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
69,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
70,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
71,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
72,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
73,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
74,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
75,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
76,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
77,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
78,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
79,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
80,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
81,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
82,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
83,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
84,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
85,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
86,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
87,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
88,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
89,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
90,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
91,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
92,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
93,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
94,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
95,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
96,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
97,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
98,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
99,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
100,94.6552347464606,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],MergeByDistance[DISTANCE:CHEBYCHEV,DESCRY_DENSITY - 10.0,DESCRY_K - 3.7777777],}
