COMPRIMENTO	LARGURA	ALTURA	PESO	POTENCIA	RPM	VALOR	ANO
193.8	67.9	53.7	3380	182	5400	41315	1986
197	70.9	56.3	3505	182	5400	36880	1985
197	70.9	56.3	3505	182	5400	36880	1985
197	70.9	56.3	3505	182	5400	36880	1985
197	70.9	56.3	3505	182	5400	36880	1985
141.1	60.3	53.2	1488	48	5100	5151	1984
141.1	60.3	53.2	1488	48	5100	5151	1984
141.1	60.3	53.2	1488	48	5100	5151	1984
141.1	60.3	53.2	1488	48	5100	5151	1984
155.9	63.6	52	1874	70	5400	6295	1985
155.9	63.6	52	1874	70	5400	6295	1985
155.9	63.6	52	1874	70	5400	6295	1985
155.9	63.6	52	1874	70	5400	6295	1985
158.8	63.6	52	1909	70	5400	6575	1982
158.8	63.6	52	1909	70	5400	6575	1982
158.8	63.6	52	1909	70	5400	6575	1982
158.8	63.6	52	1909	70	5400	6575	1982
157.3	63.8	50.8	1876	68	5500	5572	1988
157.3	63.8	50.8	1876	68	5500	6377	1989
157.3	63.8	50.8	2128	102	5500	7957	1983
157.3	63.8	50.8	1876	68	5500	5572	1988
157.3	63.8	50.8	1876	68	5500	6377	1989
157.3	63.8	50.8	2128	102	5500	7957	1983
157.3	63.8	50.8	1876	68	5500	5572	1988
157.3	63.8	50.8	1876	68	5500	6377	1989
157.3	63.8	50.8	2128	102	5500	7957	1983
157.3	63.8	50.8	1876	68	5500	5572	1988
157.3	63.8	50.8	1876	68	5500	6377	1989
157.3	63.8	50.8	2128	102	5500	7957	1983
157.3	63.8	50.6	1967	68	5500	6229	1981
157.3	63.8	50.6	1989	68	5500	6692	1980
157.3	63.8	50.6	1989	68	5500	7609	1982
157.3	63.8	50.6	2191	102	5500	8558	1984
157.3	63.8	50.6	1967	68	5500	6229	1981
157.3	63.8	50.6	1989	68	5500	6692	1980
157.3	63.8	50.6	1989	68	5500	7609	1982
157.3	63.8	50.6	2191	102	5500	8558	1984
157.3	63.8	50.6	1967	68	5500	6229	1981
157.3	63.8	50.6	1989	68	5500	6692	1980
157.3	63.8	50.6	1989	68	5500	7609	1982
157.3	63.8	50.6	2191	102	5500	8558	1984
157.3	63.8	50.6	1967	68	5500	6229	1981
157.3	63.8	50.6	1989	68	5500	6692	1980
157.3	63.8	50.6	1989	68	5500	7609	1982
157.3	63.8	50.6	2191	102	5500	8558	1984
173.2	66.3	50.2	2811	145	5000	12964	1986
173.2	66.3	50.2	2811	145	5000	12964	1986
173.2	66.3	50.2	2811	145	5000	12964	1986
173.2	66.3	50.2	2811	145	5000	12964	1986
174.6	64.6	59.8	2535	88	5000	8921	1982
174.6	64.6	59.8	2535	88	5000	8921	1982
174.6	64.6	59.8	2535	88	5000	8921	1982
174.6	64.6	59.8	2535	88	5000	8921	1982
144.6	63.9	50.8	1713	58	4800	6479	1988
144.6	63.9	50.8	1819	76	6000	6855	1989
144.6	63.9	50.8	1713	58	4800	6479	1988
144.6	63.9	50.8	1819	76	6000	6855	1989
144.6	63.9	50.8	1713	58	4800	6479	1988
144.6	63.9	50.8	1819	76	6000	6855	1989
144.6	63.9	50.8	1713	58	4800	6479	1988
144.6	63.9	50.8	1819	76	6000	6855	1989
150	64	52.6	1837	60	5500	5399	1983
150	64	52.6	1940	76	6000	6529	1982
150	64	52.6	1956	76	6000	7129	1990
150	64	52.6	1837	60	5500	5399	1983
150	64	52.6	1940	76	6000	6529	1982
150	64	52.6	1956	76	6000	7129	1990
150	64	52.6	1837	60	5500	5399	1983
150	64	52.6	1940	76	6000	6529	1982
150	64	52.6	1956	76	6000	7129	1990
150	64	52.6	1837	60	5500	5399	1983
150	64	52.6	1940	76	6000	6529	1982
150	64	52.6	1956	76	6000	7129	1990
157.1	63.9	58.3	2024	76	6000	7295	1987
157.1	63.9	58.3	2024	76	6000	7295	1987
157.1	63.9	58.3	2024	76	6000	7295	1987
157.1	63.9	58.3	2024	76	6000	7295	1987
163.4	64	54.5	2010	76	6000	7295	1990
163.4	64	54.5	2010	76	6000	7295	1990
163.4	64	54.5	2010	76	6000	7295	1990
163.4	64	54.5	2010	76	6000	7295	1990
167.5	65.2	53.3	2236	86	5800	7895	1985
167.5	65.2	53.3	2289	86	5800	9095	1980
167.5	65.2	53.3	2236	86	5800	7895	1985
167.5	65.2	53.3	2289	86	5800	9095	1980
167.5	65.2	53.3	2236	86	5800	7895	1985
167.5	65.2	53.3	2289	86	5800	9095	1980
167.5	65.2	53.3	2236	86	5800	7895	1985
167.5	65.2	53.3	2289	86	5800	9095	1980
169.1	66	51	2293	100	5500	10345	1986
169.1	66	51	2293	100	5500	10345	1986
169.1	66	51	2293	100	5500	10345	1986
169.1	66	51	2293	100	5500	10345	1986
175.4	65.2	54.1	2304	86	5800	8845	1980
175.4	62.5	54.1	2372	86	5800	10295	1987
175.4	65.2	54.1	2465	101	5800	12945	1980
175.4	65.2	54.1	2304	86	5800	8845	1980
175.4	62.5	54.1	2372	86	5800	10295	1987
175.4	65.2	54.1	2465	101	5800	12945	1980
175.4	65.2	54.1	2304	86	5800	8845	1980
175.4	62.5	54.1	2372	86	5800	10295	1987
175.4	65.2	54.1	2465	101	5800	12945	1980
175.4	65.2	54.1	2304	86	5800	8845	1980
175.4	62.5	54.1	2372	86	5800	10295	1987
175.4	65.2	54.1	2465	101	5800	12945	1980
155.9	63.6	52	1874	70	5400	12460	1984
155.9	63.6	52	1874	70	5400	12460	1984
155.9	63.6	52	1874	70	5400	12460	1984
155.9	63.6	52	1874	70	5400	12460	1984
155.9	63.6	52	1909	70	5400	13790	1988
155.9	63.6	52	1909	70	5400	13790	1988
155.9	63.6	52	1909	70	5400	13790	1988
155.9	63.6	52	1909	70	5400	13790	1988
170.7	61.8	53.5	2337	78	4800	6785	1988
170.7	61.8	53.5	2337	78	4800	6785	1988
170.7	61.8	53.5	2337	78	4800	6785	1988
170.7	61.8	53.5	2337	78	4800	6785	1988
172.6	65.2	51.4	2734	90	5000	11048	1985
172.6	65.2	51.4	2734	90	5000	11048	1985
172.6	65.2	51.4	2734	90	5000	11048	1985
172.6	65.2	51.4	2734	90	5000	11048	1985
191.7	70.6	47.8	3950	262	5000	36000	1980
191.7	70.6	47.8	3950	262	5000	36000	1980
191.7	70.6	47.8	3950	262	5000	36000	1980
191.7	70.6	47.8	3950	262	5000	36000	1980
199.6	69.6	52.8	4066	176	4750	32250	1988
199.6	69.6	52.8	4066	176	4750	35550	1982
199.6	69.6	52.8	4066	176	4750	32250	1988
199.6	69.6	52.8	4066	176	4750	35550	1982
199.6	69.6	52.8	4066	176	4750	32250	1988
199.6	69.6	52.8	4066	176	4750	35550	1982
199.6	69.6	52.8	4066	176	4750	32250	1988
199.6	69.6	52.8	4066	176	4750	35550	1982
159.1	64.2	54.1	1890	68	5000	5195	1984
159.1	64.2	54.1	1900	68	5000	6095	1984
159.1	64.2	54.1	1905	68	5000	6795	1982
159.1	64.2	54.1	1890	68	5000	5195	1984
159.1	64.2	54.1	1900	68	5000	6095	1984
159.1	64.2	54.1	1905	68	5000	6795	1982
159.1	64.2	54.1	1890	68	5000	5195	1984
159.1	64.2	54.1	1900	68	5000	6095	1984
159.1	64.2	54.1	1905	68	5000	6795	1982
159.1	64.2	54.1	1890	68	5000	5195	1984
159.1	64.2	54.1	1900	68	5000	6095	1984
159.1	64.2	54.1	1905	68	5000	6795	1982
166.8	64.2	54.1	1945	68	5000	6695	1985
166.8	64.2	54.1	1950	68	5000	7395	1982
166.8	64.2	54.1	1945	68	5000	6695	1985
166.8	64.2	54.1	1950	68	5000	7395	1982
166.8	64.2	54.1	1945	68	5000	6695	1985
166.8	64.2	54.1	1950	68	5000	7395	1982
166.8	64.2	54.1	1945	68	5000	6695	1985
166.8	64.2	54.1	1950	68	5000	7395	1982
169	65.7	49.6	2380	101	6000	10945	1983
169	65.7	49.6	2380	101	6000	11845	1989
169	65.7	49.6	2385	101	6000	13645	1982
169	65.7	49.6	2500	135	6000	15645	1982
169	65.7	49.6	2380	101	6000	10945	1983
169	65.7	49.6	2380	101	6000	11845	1989
169	65.7	49.6	2385	101	6000	13645	1982
169	65.7	49.6	2500	135	6000	15645	1982
169	65.7	49.6	2380	101	6000	10945	1983
169	65.7	49.6	2380	101	6000	11845	1989
169	65.7	49.6	2385	101	6000	13645	1982
169	65.7	49.6	2500	135	6000	15645	1982
169	65.7	49.6	2380	101	6000	10945	1983
169	65.7	49.6	2380	101	6000	11845	1989
169	65.7	49.6	2385	101	6000	13645	1982
169	65.7	49.6	2500	135	6000	15645	1982
175	66.1	54.4	2670	120	5000	18280	1983
175	66.1	54.4	2700	72	4200	18344	1990
175	66.1	54.4	2670	120	5000	18280	1983
175	66.1	54.4	2700	72	4200	18344	1990
175	66.1	54.4	2670	120	5000	18280	1983
175	66.1	54.4	2700	72	4200	18344	1990
175	66.1	54.4	2670	120	5000	18280	1983
175	66.1	54.4	2700	72	4200	18344	1990
177.8	66.5	53.7	2385	84	4800	8845	1985
177.8	66.5	53.7	2385	84	4800	10595	1981
177.8	66.5	53.7	2385	84	4800	8845	1985
177.8	66.5	53.7	2385	84	4800	10595	1981
177.8	66.5	53.7	2385	84	4800	8845	1985
177.8	66.5	53.7	2385	84	4800	10595	1981
177.8	66.5	53.7	2385	84	4800	8845	1985
177.8	66.5	53.7	2385	84	4800	10595	1981
177.8	66.5	55.5	2410	84	4800	8495	1987
177.8	66.5	55.5	2410	84	4800	10245	1982
177.8	66.5	55.5	2443	64	4650	10795	1988
177.8	66.5	55.5	2425	84	4800	11245	1981
177.8	66.5	55.5	2410	84	4800	8495	1987
177.8	66.5	55.5	2410	84	4800	10245	1982
177.8	66.5	55.5	2443	64	4650	10795	1988
177.8	66.5	55.5	2425	84	4800	11245	1981
177.8	66.5	55.5	2410	84	4800	8495	1987
177.8	66.5	55.5	2410	84	4800	10245	1982
177.8	66.5	55.5	2443	64	4650	10795	1988
177.8	66.5	55.5	2425	84	4800	11245	1981
177.8	66.5	55.5	2410	84	4800	8495	1987
177.8	66.5	55.5	2410	84	4800	10245	1982
177.8	66.5	55.5	2443	64	4650	10795	1988
177.8	66.5	55.5	2425	84	4800	11245	1981
180.3	70.5	50.8	3685	155	4750	35056	1983
180.3	70.5	50.8	3685	155	4750	35056	1983
180.3	70.5	50.8	3685	155	4750	35056	1983
180.3	70.5	50.8	3685	155	4750	35056	1983
190.9	70.3	56.5	3515	123	4350	25552	1983
190.9	70.3	58.7	3750	123	4350	28248	1985
190.9	70.3	56.5	3515	123	4350	25552	1983
190.9	70.3	58.7	3750	123	4350	28248	1985
190.9	70.3	56.5	3515	123	4350	25552	1983
190.9	70.3	58.7	3750	123	4350	28248	1985
190.9	70.3	56.5	3515	123	4350	25552	1983
190.9	70.3	58.7	3750	123	4350	28248	1985
202.6	71.7	56.3	3770	123	4350	31600	1989
202.6	71.7	56.5	3740	155	4750	34184	1986
202.6	71.7	56.3	3770	123	4350	31600	1989
202.6	71.7	56.5	3740	155	4750	34184	1986
202.6	71.7	56.3	3770	123	4350	31600	1989
202.6	71.7	56.5	3740	155	4750	34184	1986
202.6	71.7	56.3	3770	123	4350	31600	1989
202.6	71.7	56.5	3740	155	4750	34184	1986
208.1	71.7	56.7	3900	184	4500	40960	1988
208.1	71.7	56.7	3900	184	4500	40960	1988
208.1	71.7	56.7	3900	184	4500	40960	1988
208.1	71.7	56.7	3900	184	4500	40960	1988
178.4	68	54.8	2910	175	5000	16503	1984
178.4	68	54.8	2910	175	5000	16503	1984
178.4	68	54.8	2910	175	5000	16503	1984
178.4	68	54.8	2910	175	5000	16503	1984
157.3	64.4	50.8	1918	68	5500	5389	1981
157.3	64.4	50.8	1944	68	5500	6189	1986
157.3	64.4	50.8	2004	68	5500	6669	1989
157.3	63.8	50.8	2145	102	5500	7689	1982
157.3	64.4	50.8	1918	68	5500	5389	1981
157.3	64.4	50.8	1944	68	5500	6189	1986
157.3	64.4	50.8	2004	68	5500	6669	1989
157.3	63.8	50.8	2145	102	5500	7689	1982
157.3	64.4	50.8	1918	68	5500	5389	1981
157.3	64.4	50.8	1944	68	5500	6189	1986
157.3	64.4	50.8	2004	68	5500	6669	1989
157.3	63.8	50.8	2145	102	5500	7689	1982
157.3	64.4	50.8	1918	68	5500	5389	1981
157.3	64.4	50.8	1944	68	5500	6189	1986
157.3	64.4	50.8	2004	68	5500	6669	1989
157.3	63.8	50.8	2145	102	5500	7689	1982
172.4	65.4	51.6	2365	88	5000	6989	1985
172.4	65.4	51.6	2405	88	5000	8189	1982
172.4	65.4	51.6	2403	116	5500	9279	1989
172.4	65.4	51.6	2403	116	5500	9279	1980
172.4	65.4	51.6	2365	88	5000	6989	1985
172.4	65.4	51.6	2405	88	5000	8189	1982
172.4	65.4	51.6	2403	116	5500	9279	1989
172.4	65.4	51.6	2403	116	5500	9279	1980
172.4	65.4	51.6	2365	88	5000	6989	1985
172.4	65.4	51.6	2405	88	5000	8189	1982
172.4	65.4	51.6	2403	116	5500	9279	1989
172.4	65.4	51.6	2403	116	5500	9279	1980
172.4	65.4	51.6	2365	88	5000	6989	1985
172.4	65.4	51.6	2405	88	5000	8189	1982
172.4	65.4	51.6	2403	116	5500	9279	1989
172.4	65.4	51.6	2403	116	5500	9279	1980
173	65.4	49.4	2370	116	5500	9959	1989
173	65.4	49.4	2328	88	5000	8499	1981
173	65.4	49.4	2370	116	5500	9959	1989
173	65.4	49.4	2328	88	5000	8499	1981
173	65.4	49.4	2370	116	5500	9959	1989
173	65.4	49.4	2328	88	5000	8499	1981
173	65.4	49.4	2370	116	5500	9959	1989
173	65.4	49.4	2328	88	5000	8499	1981
173.2	66.3	50.2	2833	145	5000	12629	1987
173.2	66.3	50.2	2921	145	5000	14869	1984
173.2	66.3	50.2	2926	145	5000	14489	1982
173.2	66.3	50.2	2833	145	5000	12629	1987
173.2	66.3	50.2	2921	145	5000	14869	1984
173.2	66.3	50.2	2926	145	5000	14489	1982
173.2	66.3	50.2	2833	145	5000	12629	1987
173.2	66.3	50.2	2921	145	5000	14869	1984
173.2	66.3	50.2	2926	145	5000	14489	1982
173.2	66.3	50.2	2833	145	5000	12629	1987
173.2	66.3	50.2	2921	145	5000	14869	1984
173.2	66.3	50.2	2926	145	5000	14489	1982
165.3	63.8	54.5	1889	69	5200	5499	1983
165.3	63.8	54.5	2017	55	4800	7099	1986
165.3	63.8	54.5	1918	69	5200	6649	1990
165.3	63.8	54.5	1951	69	5200	7299	1981
165.3	63.8	54.5	1889	69	5200	5499	1983
165.3	63.8	54.5	2017	55	4800	7099	1986
165.3	63.8	54.5	1918	69	5200	6649	1990
165.3	63.8	54.5	1951	69	5200	7299	1981
165.3	63.8	54.5	1889	69	5200	5499	1983
165.3	63.8	54.5	2017	55	4800	7099	1986
165.3	63.8	54.5	1918	69	5200	6649	1990
165.3	63.8	54.5	1951	69	5200	7299	1981
165.3	63.8	54.5	1889	69	5200	5499	1983
165.3	63.8	54.5	2017	55	4800	7099	1986
165.3	63.8	54.5	1918	69	5200	6649	1990
165.3	63.8	54.5	1951	69	5200	7299	1981
165.3	63.8	54.5	1938	69	5200	6849	1985
165.3	63.8	54.5	1971	69	5200	7499	1987
165.3	63.8	54.5	1938	69	5200	6849	1985
165.3	63.8	54.5	1971	69	5200	7499	1987
165.3	63.8	54.5	1938	69	5200	6849	1985
165.3	63.8	54.5	1971	69	5200	7499	1987
165.3	63.8	54.5	1938	69	5200	6849	1985
165.3	63.8	54.5	1971	69	5200	7499	1987
165.6	63.8	53.3	2028	69	5200	7799	1984
165.6	63.8	53.3	2028	69	5200	7799	1984
165.6	63.8	53.3	2028	69	5200	7799	1984
165.6	63.8	53.3	2028	69	5200	7799	1984
170.2	63.8	53.5	2024	69	5200	7349	1983
170.2	63.8	53.5	2037	69	5200	7999	1989
170.2	63.8	53.5	2024	69	5200	7349	1983
170.2	63.8	53.5	2037	69	5200	7999	1989
170.2	63.8	53.5	2024	69	5200	7349	1983
170.2	63.8	53.5	2037	69	5200	7999	1989
170.2	63.8	53.5	2024	69	5200	7349	1983
170.2	63.8	53.5	2037	69	5200	7999	1989
170.7	67.9	49.7	3071	160	5200	17199	1980
170.7	67.9	49.7	3139	200	5200	19699	1982
170.7	67.9	49.7	3071	160	5200	17199	1980
170.7	67.9	49.7	3139	200	5200	19699	1982
170.7	67.9	49.7	3071	160	5200	17199	1980
170.7	67.9	49.7	3139	200	5200	19699	1982
170.7	67.9	49.7	3071	160	5200	17199	1980
170.7	67.9	49.7	3139	200	5200	19699	1982
173.4	65.2	54.7	2324	97	5200	8949	1986
173.4	65.2	54.7	2302	97	5200	9549	1988
173.4	65.2	54.7	2324	97	5200	8949	1986
173.4	65.2	54.7	2302	97	5200	9549	1988
173.4	65.2	54.7	2324	97	5200	8949	1986
173.4	65.2	54.7	2302	97	5200	9549	1988
173.4	65.2	54.7	2324	97	5200	8949	1986
173.4	65.2	54.7	2302	97	5200	9549	1988
178.5	67.9	49.7	3139	160	5200	18399	1989
178.5	67.9	49.7	3139	160	5200	18399	1989
178.5	67.9	49.7	3139	160	5200	18399	1989
178.5	67.9	49.7	3139	160	5200	18399	1989
181.7	66.5	55.1	3095	152	5200	13499	1987
181.7	66.5	55.1	3095	152	5200	13499	1987
181.7	66.5	55.1	3095	152	5200	13499	1987
181.7	66.5	55.1	3095	152	5200	13499	1987
184.6	66.5	56.1	3296	152	5200	14399	1982
184.6	66.5	55.1	3060	152	5200	13499	1982
184.6	66.5	56.1	3296	152	5200	14399	1982
184.6	66.5	55.1	3060	152	5200	13499	1982
184.6	66.5	56.1	3296	152	5200	14399	1982
184.6	66.5	55.1	3060	152	5200	13499	1982
184.6	66.5	56.1	3296	152	5200	14399	1982
184.6	66.5	55.1	3060	152	5200	13499	1982
186.7	68.4	56.7	3020	97	5000	11900	1985
186.7	68.4	56.7	3197	95	4150	13200	1988
186.7	68.4	56.7	3075	95	5000	15580	1988
186.7	68.4	56.7	3252	95	4150	16900	1983
186.7	68.4	56.7	3075	97	5000	16630	1987
186.7	68.4	56.7	3252	95	4150	17950	1986
186.7	68.3	56	3130	142	5600	18150	1980
186.7	68.4	56.7	3020	97	5000	11900	1985
186.7	68.4	56.7	3197	95	4150	13200	1988
186.7	68.4	56.7	3075	95	5000	15580	1988
186.7	68.4	56.7	3252	95	4150	16900	1983
186.7	68.4	56.7	3075	97	5000	16630	1987
186.7	68.4	56.7	3252	95	4150	17950	1986
186.7	68.3	56	3130	142	5600	18150	1980
186.7	68.4	56.7	3020	97	5000	11900	1985
186.7	68.4	56.7	3197	95	4150	13200	1988
186.7	68.4	56.7	3075	95	5000	15580	1988
186.7	68.4	56.7	3252	95	4150	16900	1983
186.7	68.4	56.7	3075	97	5000	16630	1987
186.7	68.4	56.7	3252	95	4150	17950	1986
186.7	68.3	56	3130	142	5600	18150	1980
186.7	68.4	56.7	3020	97	5000	11900	1985
186.7	68.4	56.7	3197	95	4150	13200	1988
186.7	68.4	56.7	3075	95	5000	15580	1988
186.7	68.4	56.7	3252	95	4150	16900	1983
186.7	68.4	56.7	3075	97	5000	16630	1987
186.7	68.4	56.7	3252	95	4150	17950	1986
186.7	68.3	56	3130	142	5600	18150	1980
198.9	68.4	58.7	3230	97	5000	12440	1990
198.9	68.4	58.7	3430	95	4150	13860	1983
198.9	68.4	56.7	3285	95	5000	16695	1983
198.9	68.4	58.7	3485	95	4150	17075	1984
198.9	68.4	58.7	3230	97	5000	12440	1990
198.9	68.4	58.7	3430	95	4150	13860	1983
198.9	68.4	56.7	3285	95	5000	16695	1983
198.9	68.4	58.7	3485	95	4150	17075	1984
198.9	68.4	58.7	3230	97	5000	12440	1990
198.9	68.4	58.7	3430	95	4150	13860	1983
198.9	68.4	56.7	3285	95	5000	16695	1983
198.9	68.4	58.7	3485	95	4150	17075	1984
198.9	68.4	58.7	3230	97	5000	12440	1990
198.9	68.4	58.7	3430	95	4150	13860	1983
198.9	68.4	56.7	3285	95	5000	16695	1983
198.9	68.4	58.7	3485	95	4150	17075	1984
157.3	63.8	50.8	1918	68	5500	5572	1984
157.3	63.8	50.8	2128	102	5500	7957	1981
157.3	63.8	50.8	1918	68	5500	5572	1984
157.3	63.8	50.8	2128	102	5500	7957	1981
157.3	63.8	50.8	1918	68	5500	5572	1984
157.3	63.8	50.8	2128	102	5500	7957	1981
157.3	63.8	50.8	1918	68	5500	5572	1984
157.3	63.8	50.8	2128	102	5500	7957	1981
157.3	63.8	50.6	1967	68	5500	6229	1988
157.3	63.8	50.6	1967	68	5500	6229	1988
157.3	63.8	50.6	1967	68	5500	6229	1988
157.3	63.8	50.6	1967	68	5500	6229	1988
167.3	63.8	50.8	1989	68	5500	6692	1982
167.3	63.8	50.8	2191	68	5500	7609	1987
167.3	63.8	50.8	1989	68	5500	6692	1982
167.3	63.8	50.8	2191	68	5500	7609	1987
167.3	63.8	50.8	1989	68	5500	6692	1982
167.3	63.8	50.8	2191	68	5500	7609	1987
167.3	63.8	50.8	1989	68	5500	6692	1982
167.3	63.8	50.8	2191	68	5500	7609	1987
173.2	66.3	50.2	2818	145	5000	12764	1989
173.2	66.3	50.2	2818	145	5000	12764	1989
173.2	66.3	50.2	2818	145	5000	12764	1989
173.2	66.3	50.2	2818	145	5000	12764	1989
174.6	64.6	59.8	2535	88	5000	8921	1981
174.6	64.6	59.8	2535	88	5000	8921	1981
174.6	64.6	59.8	2535	88	5000	8921	1981
174.6	64.6	59.8	2535	88	5000	8921	1981
168.9	68.3	50.2	2778	143	5500	22018	1984
168.9	65	51.6	2800	207	5900	37028	1984
168.9	68.3	50.2	2778	143	5500	22018	1984
168.9	65	51.6	2800	207	5900	37028	1984
168.9	68.3	50.2	2778	143	5500	22018	1984
168.9	65	51.6	2800	207	5900	37028	1984
168.9	68.3	50.2	2778	143	5500	22018	1984
168.9	65	51.6	2800	207	5900	37028	1984
175.7	72.3	50.5	3366	288	5750	31780	1986
175.7	72.3	50.5	3366	288	5750	31780	1986
175.7	72.3	50.5	3366	288	5750	31780	1986
175.7	72.3	50.5	3366	288	5750	31780	1986
176.8	66.6	50.5	2460	85	5500	9895	1981
176.8	66.6	50.5	2460	85	5500	9895	1981
176.8	66.6	50.5	2460	85	5500	9895	1981
176.8	66.6	50.5	2460	85	5500	9895	1981
181.5	66.5	55.2	2579	85	5500	9295	1981
181.5	66.5	55.2	2579	85	5500	9295	1981
181.5	66.5	55.2	2579	85	5500	9295	1981
181.5	66.5	55.2	2579	85	5500	9295	1981
186.6	66.5	56.1	2658	110	5250	11850	1987
156.9	63.4	53.7	2050	69	4900	5118	1983
156.9	63.4	53.7	2050	69	4900	5118	1983
156.9	63.4	53.7	2050	69	4900	5118	1983
156.9	63.4	53.7	2050	69	4900	5118	1983
157.3	63.8	55.7	2240	73	4400	7603	1981
157.3	63.8	55.7	2240	73	4400	7603	1981
157.3	63.8	55.7	2240	73	4400	7603	1981
157.3	63.8	55.7	2240	73	4400	7603	1981
157.9	63.6	53.7	2120	73	4400	7053	1984
157.9	63.6	53.7	2120	73	4400	7053	1984
157.9	63.6	53.7	2120	73	4400	7053	1984
157.9	63.6	53.7	2120	73	4400	7053	1984
172	65.4	52.5	2145	82	4800	7126	1981
172	65.4	52.5	2190	82	4400	7775	1989
172	65.4	52.5	2340	94	5200	9960	1988
172	65.4	54.3	2385	82	4800	9233	1982
172	65.4	54.3	2510	111	4800	11259	1982
172	65.4	52.5	2145	82	4800	7126	1981
172	65.4	52.5	2190	82	4400	7775	1989
172	65.4	52.5	2340	94	5200	9960	1988
172	65.4	54.3	2385	82	4800	9233	1982
172	65.4	54.3	2510	111	4800	11259	1982
172	65.4	52.5	2145	82	4800	7126	1981
172	65.4	52.5	2190	82	4400	7775	1989
172	65.4	52.5	2340	94	5200	9960	1988
172	65.4	54.3	2385	82	4800	9233	1982
172	65.4	54.3	2510	111	4800	11259	1982
172	65.4	52.5	2145	82	4800	7126	1981
172	65.4	52.5	2190	82	4400	7775	1989
172	65.4	52.5	2340	94	5200	9960	1988
172	65.4	54.3	2385	82	4800	9233	1982
172	65.4	54.3	2510	111	4800	11259	1982
173.5	65.4	53	2290	82	4800	7463	1984
173.5	65.4	53	2455	94	5200	10198	1985
173.5	65.4	53	2290	82	4800	7463	1984
