Generation_1,Generation_2,Generation_3,Generation_4,Generation_5,Generation_6,Generation_7,Generation_8,Generation_9,Generation_10
CandidatesByNpts->ClusterByConnectiveness,AttractionTree->DensityTree,CandidatesByNpts->ClusterByConnectiveness,CandidatesBySNN->ClusterByConnectiveness,CandidatesBySNN->ClusterByConnectiveness,AttractionTree->DensityTree,AttractionTree->DensityTree,AttractionTree->DensityTree,CandidatesBySNN->ClusterByConnectiveness,Equally Sized Grid->AMRTree->MergeByOverlap
Equally Sized Grid->AMRTree->ClustersAMR,Equally Sized Grid->AMRTree->MergeByOverlap,DenseAreas->ClustersByAttractors,DenseAreas->ClusterByPartition,DenseAreas->ClusterByPartition,CandidatesByNpts->ClusterByConnectiveness,CandidatesByDistance->ClustersByDistribution,DenseAreas->AMRTree->MergeByOverlap,DenseAreas->ClustersByAttractors,AttractionTree->DensityTree
CandidatesBySNN->MergeByOverlap,AttractionTree->DensityTree,CandidatesByDistance->ClustersByDistribution,Equally Sized Grid->AMRTree->ClustersAMR,DenseAreas->ClusterByPartition,ClustersByAttractors,AttractionTree->DensityTree,CandidatesByDistance->ClustersByDistribution,ASH->AttractionTree->DensityTree,DenseAreas->AMRTree->MergeByOverlap
ASH->ClustersByDistribution,AttractionTree->DensityTree,Equally Sized Grid->AMRTree->MergeByDistance,CandidatesBySNN->SNNByConnectiveness,AttractionTree->DensityTree,ASH->ClustersByAttractors,Equally Sized Grid->AMRTree->ClustersAMR,AttractionTree->DensityTree,ClustersByAttractors,CandidatesByDistance->ClustersByDistribution
ClustersByAttractors,CandidatesByNpts->ClusterByConnectiveness,AttractionTree->DensityTree,ClustersByAttractors,CandidatesByDistance->ClustersByDistribution,Equally Sized Grid->AMRTree->MergeByDistance,CandidatesByDistance->ClusterByConnectiveness,DenseAreas->ClusterByPartition,ClustersByAttractors,AttractionTree->DensityTree
CandidatesByDistance->ClustersByDistribution,ASH->ClustersByAttractors,CandidatesBySNN->ClustersByDistribution,AdaptableKDTree->ClustersAMR,CandidatesByNpts->ClusterByConnectiveness,Equally Sized Grid->AMRTree->MergeByDistance,CandidatesByDistance->ClusterByConnectiveness,Equally Sized Grid->AMRTree->MergeByDistance,Equally Sized Grid->AMRTree->ClustersAMR,AttractionTree->DensityTree
Equally Sized Grid->AMRTree->MergeByOverlap,DenseAreas->AMRTree->MergeByDistance,DenseAreas->ClustersByAttractors,ClustersByAttractors,AttractionTree->DensityTree,AttractionTree->DensityTree,CandidatesByNpts->ClusterByConnectiveness,DenseAreas->ClusterByPartition,AttractionTree->DensityTree,AttractionTree->DensityTree
DenseAreas->ClusterByPartition,CandidatesBySNN->SNNByConnectiveness,AttractionTree->DensityTree,DenseAreas->ClustersByAttractors,AttractionTree->DensityTree,Equally Sized Grid->AMRTree->MergeByDistance,CandidatesBySNN->MergeByOverlap,AttractionTree->DensityTree,ASH->AttractionTree->DensityTree,Equally Sized Grid->AMRTree->MergeByDistance
CandidatesByNpts->ClusterByConnectiveness,Equally Sized Grid->AMRTree->MergeByOverlap,Equally Sized Grid->AMRTree->MergeByDistance,AdaptableKDTree->ClustersAMR,CandidatesBySNN->MergeByDistance,ClustersByAttractors,Equally Sized Grid->AMRTree->MergeByDistance,ASH->ClustersByAttractors,ClustersByAttractors,CandidatesBySNN->MergeByOverlap
CandidatesBySNN->ClusterByConnectiveness,ASH->AttractionTree->DensityTree,CandidatesByDistance->ClustersByDistribution,CandidatesByDistance->ClustersByDistribution,CandidatesByDistance->ClusterByConnectiveness,ClustersByAttractors,ClustersByAttractors,CandidatesBySNN->ClusterByConnectiveness,DenseAreas->ClusterByPartition,Equally Sized Grid->AMRTree->MergeByDistance
AdaptableKDTree->ClustersAMR,CandidatesBySNN->MergeByDistance,DenseAreas->AMRTree->MergeByOverlap,ASH->ClustersByAttractors,Equally Sized Grid->AMRTree->MergeByDistance,CandidatesBySNN->SNNByConnectiveness,DenseAreas->AMRTree->ClustersAMR,CandidatesBySNN->MergeByOverlap,CandidatesByDistance->ClustersByDistribution,AdaptableKDTree->ClustersAMR
CandidatesByNpts->ClusterByConnectiveness,AttractionTree->DensityTree,CandidatesBySNN->SNNByConnectiveness,CandidatesByNpts->ClusterByConnectiveness,DenseAreas->ClusterByPartition,Equally Sized Grid->AMRTree->MergeByOverlap,ClustersByAttractors,ClustersByAttractors,CandidatesByDistance->ClustersByDistribution,Equally Sized Grid->AMRTree->MergeByOverlap
ClustersByAttractors,CandidatesByDistance->ClusterByConnectiveness,DenseAreas->AMRTree->MergeByOverlap,DenseAreas->ClustersByAttractors,CandidatesByDistance->ClustersByDistribution,Equally Sized Grid->AMRTree->MergeByDistance,CandidatesBySNN->ClustersByDistribution,CandidatesByNpts->ClusterByConnectiveness,CandidatesByDistance->ClusterByConnectiveness,ASH->ClustersByAttractors
CandidatesByNpts->ClustersByDistribution,ASH->ClustersByAttractors,CandidatesByDistance->ClusterByConnectiveness,ClustersByAttractors,CandidatesByDistance->ClustersByDistribution,ClustersByAttractors,CandidatesByDistance->ClustersByDistribution,Equally Sized Grid->AMRTree->ClustersAMR,Equally Sized Grid->AMRTree->MergeByOverlap,CandidatesByNpts->ClusterByConnectiveness
DenseAreas->ClusterByPartition,CandidatesBySNN->MergeByOverlap,CandidatesByDistance->ClusterByConnectiveness,ClustersByAttractors,ClustersByAttractors,ClustersByAttractors,Equally Sized Grid->AMRTree->ClustersAMR,DenseAreas->ClusterByPartition,CandidatesBySNN->ClusterByConnectiveness,CandidatesByNpts->ClusterByConnectiveness
AttractionTree->DensityTree,AttractionTree->DensityTree,CandidatesByDistance->ClusterByConnectiveness,CandidatesBySNN->MergeByDistance,AttractionTree->DensityTree,DenseAreas->AMRTree->ClustersAMR,CandidatesByDistance->ClusterByConnectiveness,DenseAreas->ClusterByPartition,CandidatesBySNN->MergeByOverlap,CandidatesBySNN->MergeByOverlap
CandidatesByNpts->ClustersByDistribution,CandidatesByDistance->ClustersByDistribution,DenseAreas->ClustersByAttractors,AttractionTree->DensityTree,Equally Sized Grid->AMRTree->MergeByDistance,DenseAreas->ClusterByPartition,ClustersByAttractors,AdaptableKDTree->ClustersAMR,CandidatesByDistance->ClustersByDistribution,CandidatesBySNN->MergeByDistance
ASH->AttractionTree->DensityTree,AttractionTree->DensityTree,CandidatesBySNN->ClusterByConnectiveness,ClustersByAttractors,ASH->ClustersByAttractors,ClustersByAttractors,CandidatesByNpts->ClusterByConnectiveness,CandidatesByNpts->ClusterByConnectiveness,AdaptableKDTree->ClustersAMR,AttractionTree->DensityTree
Equally Sized Grid->AMRTree->MergeByDistance,DenseAreas->ClusterByPartition,CandidatesByDistance->ClustersByDistribution,ASH->AttractionTree->DensityTree,ClustersByAttractors,Equally Sized Grid->AMRTree->MergeByOverlap,AttractionTree->DensityTree,ClustersByAttractors,AttractionTree->DensityTree,Equally Sized Grid->AMRTree->MergeByOverlap
ClustersByAttractors,AdaptableKDTree->ClustersAMR,CandidatesByDistance->ClustersByDistribution,CandidatesByDistance->ClusterByConnectiveness,DenseAreas->AMRTree->ClustersAMR,Equally Sized Grid->AMRTree->MergeByDistance,ASH->ClustersByAttractors,CandidatesBySNN->ClustersByDistribution,CandidatesByNpts->ClusterByConnectiveness,Equally Sized Grid->AMRTree->MergeByDistance
AttractionTree->DensityTree,DenseAreas->ClusterByPartition,CandidatesByDistance->ClustersByDistribution,Equally Sized Grid->AMRTree->MergeByOverlap,Equally Sized Grid->AMRTree->MergeByOverlap,DenseAreas->ClusterByPartition,CandidatesByNpts->ClusterByConnectiveness,DenseAreas->ClusterByPartition,Equally Sized Grid->AMRTree->MergeByDistance,Equally Sized Grid->AMRTree->ClustersAMR
Equally Sized Grid->AMRTree->MergeByDistance,CandidatesByDistance->ClusterByConnectiveness,DenseAreas->ClusterByPartition,CandidatesByDistance->ClusterByConnectiveness,ClustersByAttractors,ClustersByAttractors,ASH->AttractionTree->DensityTree,DenseAreas->ClusterByPartition,CandidatesBySNN->MergeByOverlap,DenseAreas->AMRTree->MergeByOverlap
CandidatesByNpts->ClusterByConnectiveness,CandidatesBySNN->ClustersByDistribution,Equally Sized Grid->AMRTree->MergeByDistance,CandidatesByNpts->ClusterByConnectiveness,CandidatesBySNN->MergeByOverlap,AttractionTree->DensityTree,DenseAreas->AMRTree->ClustersAMR,Equally Sized Grid->AMRTree->MergeByDistance,AttractionTree->DensityTree,CandidatesBySNN->MergeByOverlap
CandidatesByNpts->ClustersByDistribution,AttractionTree->DensityTree,ClustersByAttractors,Equally Sized Grid->AMRTree->MergeByOverlap,ClustersByAttractors,Equally Sized Grid->AMRTree->MergeByOverlap,AttractionTree->DensityTree,CandidatesBySNN->SNNByConnectiveness,Equally Sized Grid->AMRTree->ClustersAMR,ASH->AttractionTree->DensityTree
CandidatesBySNN->MergeByDistance,CandidatesByNpts->ClusterByConnectiveness,CandidatesByDistance->ClusterByConnectiveness,AttractionTree->DensityTree,CandidatesBySNN->ClusterByConnectiveness,ClustersByAttractors,DenseAreas->AMRTree->ClustersAMR,Equally Sized Grid->AMRTree->MergeByOverlap,ASH->AttractionTree->DensityTree,ClustersByAttractors
CandidatesByDistance->ClusterByConnectiveness,CandidatesByDistance->ClustersByDistribution,CandidatesBySNN->ClusterByConnectiveness,ClustersByAttractors,CandidatesBySNN->ClustersByDistribution,CandidatesByNpts->ClusterByConnectiveness,Equally Sized Grid->AMRTree->ClustersAMR,DenseAreas->ClusterByPartition,ASH->ClustersByAttractors,AdaptableKDTree->ClustersAMR
