1,86.137197030359,{Reading Instances[DISTANCE:EUCLIDEAN],AdaptableKDTree[DISTANCE:MANHATTAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 9.0],MergeByDistance[DISTANCE:BRAYCURTIS,DESCRY_K - 9.111111,DESCRY_DENSITY - 9.0],}
12,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
13,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
14,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
15,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
16,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
17,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
18,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
19,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
20,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
21,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
22,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
23,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
24,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
25,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
26,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
27,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
28,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
29,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
30,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
31,92.79018211384532,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 10.0],}
32,93.45429281637084,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 9.0],}
33,93.45429281637084,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 9.0],}
34,93.45429281637084,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 9.0],}
35,93.45429281637084,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 9.0],}
36,93.45429281637084,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 9.0],}
37,93.45429281637084,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 9.0],}
38,93.45429281637084,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 9.0],}
39,93.45429281637084,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 9.0],ClustersByAttractors[DISTANCE:EUCLIDEAN,DENCLUE_EPSILON - 1.1111112,DENCLUE_SIGMA - 9.0],}
40,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
41,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
42,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
43,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
44,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
45,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
46,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
47,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
48,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
49,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
50,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
51,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
52,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
53,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
54,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
55,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
56,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
57,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
58,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
59,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
60,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
61,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
62,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
63,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
64,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
65,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
66,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
67,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
68,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
69,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
70,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
71,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
72,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
73,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
74,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
75,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
76,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
77,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
78,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
79,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
80,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
81,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
82,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
83,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
84,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
85,93.50980367145351,{Reading Instances[DISTANCE:EUCLIDEAN],DenseAreas[DISTANCE:CHEBYCHEV,CLIQUE_SLICES - 14.444445,CLIQUE_THRESHOLD - 0.2],ClustersByAttractors[DISTANCE:CHEBYCHEV,DENCLUE_EPSILON - 0.5555556,DENCLUE_SIGMA - 9.0],}
