1,85.70521801043867,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:BRAYCURTIS,DENCLUE_SIGMA - 8.0,DENCLUE_EPSILON - 0.5555556],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_MAX_DIST - 8.0,DBSCAN_NUM_PTS - 4.666667],}
12,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
13,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
14,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
15,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
16,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
17,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
18,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
19,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
20,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
21,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
22,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
23,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
24,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
25,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
26,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
27,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
28,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
29,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
30,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
31,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
32,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
33,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
34,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
35,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
36,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
37,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
38,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
39,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
40,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
41,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
42,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
43,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
44,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
45,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
46,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
47,99.76715907642965,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.2222223],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_MAX_DIST - 5.666667,DBSCAN_NUM_PTS - 4.3333335],}
48,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
49,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
50,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
51,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
52,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
53,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
54,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
55,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
56,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
57,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
58,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
59,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
60,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
61,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
62,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
63,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
64,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
65,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
66,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
67,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
68,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
69,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
70,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
71,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
72,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
73,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
74,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
75,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
76,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
77,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
78,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
79,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
80,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 7.2222223,DBSCAN_NUM_PTS - 3.3333335],}
81,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 6.4444447,DBSCAN_NUM_PTS - 4.0],}
82,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 6.4444447,DBSCAN_NUM_PTS - 4.0],}
83,99.76718620686984,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_SIGMA - 2.0,DENCLUE_EPSILON - 2.777778],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_MAX_DIST - 6.4444447,DBSCAN_NUM_PTS - 4.0],}
