1,91.14074817931127,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:EUCLIDEAN,DBCLASD_PTS - 3.0],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_NUM_PTS - 5.0,DBSCAN_MAX_DIST - 8.0],}
2,91.56694570586366,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_NUM_PTS - 5.0,DBSCAN_MAX_DIST - 8.0],}
3,91.56694570586366,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_NUM_PTS - 5.0,DBSCAN_MAX_DIST - 8.0],}
4,91.56694570586366,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:MANHATTAN,DBCLASD_PTS - 7.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_NUM_PTS - 5.0,DBSCAN_MAX_DIST - 8.0],}
5,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
6,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
7,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
8,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
9,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
10,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
11,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
12,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
13,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
14,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
15,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
16,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
17,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
18,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
19,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
20,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
21,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
22,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
23,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
24,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
25,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
26,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
27,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
28,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
29,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
30,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
31,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
32,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
33,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
34,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
35,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
36,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
37,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
38,92.88876859073835,{Reading Instances[DISTANCE:EUCLIDEAN],CandidatesByNpts[DISTANCE:BRAYCURTIS,DBCLASD_PTS - 2.0],MergeByDistance[DISTANCE:EUCLIDEAN,DESCRY_K - 9.111111,DESCRY_DENSITY - 4.0],}
70,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 1.7777778],}
71,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 1.7777778],}
72,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 1.7777778],}
73,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 1.7777778],}
74,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 1.7777778],}
75,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 1.7777778],}
76,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 1.7777778],}
77,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 1.7777778],}
78,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 1.7777778],}
79,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 1.7777778],}
80,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 1.7777778],}
81,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 1.7777778],}
82,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 1.7777778],}
83,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:BRAYCURTIS,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 1.7777778],}
84,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 4.666667,DBSCAN_MAX_DIST - 4.888889],}
85,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 4.666667,DBSCAN_MAX_DIST - 4.888889],}
86,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 4.666667,DBSCAN_MAX_DIST - 4.888889],}
87,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 4.666667,DBSCAN_MAX_DIST - 4.888889],}
88,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 4.666667,DBSCAN_MAX_DIST - 4.888889],}
89,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 4.666667,DBSCAN_MAX_DIST - 4.888889],}
90,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_NUM_PTS - 2.3333333,DBSCAN_MAX_DIST - 8.0],}
91,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_NUM_PTS - 2.3333333,DBSCAN_MAX_DIST - 8.0],}
92,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_NUM_PTS - 2.3333333,DBSCAN_MAX_DIST - 8.0],}
93,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:CHEBYCHEV,DBSCAN_NUM_PTS - 2.3333333,DBSCAN_MAX_DIST - 8.0],}
94,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_NUM_PTS - 4.666667,DBSCAN_MAX_DIST - 8.0],}
95,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 5.0,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:MANHATTAN,DBSCAN_NUM_PTS - 4.666667,DBSCAN_MAX_DIST - 8.0],}
96,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
97,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
98,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
99,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
100,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
101,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
102,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
103,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
104,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
105,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
106,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
107,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
108,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
109,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
110,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
111,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
112,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
113,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
114,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
115,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
116,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
117,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
118,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
119,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
120,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
121,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
122,96.15826691060276,{Reading Instances[DISTANCE:EUCLIDEAN],ASH[DISTANCE:MANHATTAN,DENCLUE_EPSILON - 3.888889,DENCLUE_SIGMA - 7.0],ClusterByConnectiveness[DISTANCE:EUCLIDEAN,DBSCAN_NUM_PTS - 3.6666667,DBSCAN_MAX_DIST - 8.0],}
